,,"Cd
(mg/kg)","Cu
(mg/kg)","As
(mg/kg)","Hg
(mg/kg)","Pb
(mg/kg)","Cr6+
(mg/kg)","Zn
(mg/kg)","Ni
(mg/kg)","F
(mg/kg)","유기인화합물
(mg/kg)","PCBs
(mg/kg)","CN
(mg/kg)","Phenol
(mg/kg)","Pentachlorophenol
(mg/kg)",Benzene,Toluene,Ethylbenzene,Xylene,"TPH 
(mg/kg)","TCE 
(mg/kg)","PCE
(mg/kg)","1,2DCA
(mg/kg)","BaP
(mg/kg)",Dioxin,pH
1지역,대책기준,12,450,75,12,600,15,900,300,2400,－,3,5,10,10,3,60,150,45,2000,24,12,15,2,500,
,우려기준,4,150,25,4,200,5,300,100,800,10,1,2,4,4,1,20,50,15,500,8,4,5,0.7,160,
,우려 40% 또는 70%,2.8,105,17.5,2.8,140,3.5,210,70,560,4,0.4,1.4,1.6,1.6,0.4,8,20,6,200,3.2,1.6,2,0.28,64,
2지역,대책기준,30,1500,150,30,1200,45,1800,600,3900,－,12,5,10,10,3,60,150,45,2400,24,12,20,6,1000,
,우려기준,10,500,50,10,400,15,600,200,1300,10,4,2,4,4,1,20,50,15,800,8,4,7,2,340,
,우려 40% 또는 70%,7,350,35,7,280,10.5,420,140,910,4,1.6,1.4,1.6,1.6,0.4,8,20,6,320,3.2,1.6,2.8,0.8,136,
3지역,대책기준,180,6000,600,60,2100,120,5000,1500,6000,－,36,300,50,50,9,180,1020,135,6000,120,75,210,21,3000,
,우려기준,60,2000,200,20,700,40,2000,500,2000,30,12,120,20,20,3,60,340,45,2000,40,25,70,7,1000,
,우려 40% 또는 70%,42,1400,140,14,490,28,1400,350,1400,12,4.8,84,8,8,1.2,24,136,18,800,16,10,28,2.8,400,
